Gene;Gene name;Tissue;TPM
ENSG00000002834;LASP1;cervix, uterine;69.0
ENSG00000002834;LASP1;colon;88.3
ENSG00000002834;LASP1;dendritic cells;23.5
ENSG00000002834;LASP1;duodenum;128.8
ENSG00000002834;LASP1;endometrium;65.1
ENSG00000002834;LASP1;epididymis;37.4
ENSG00000002834;LASP1;esophagus;35.4
ENSG00000002834;LASP1;fallopian tube;71.9
ENSG00000002834;LASP1;gallbladder;84.4
ENSG00000002834;LASP1;granulocytes;42.7
ENSG00000002834;LASP1;heart muscle;15.8
ENSG00000002834;LASP1;kidney;47.5
ENSG00000002834;LASP1;liver;29.8
ENSG00000002834;LASP1;lung;96.1
ENSG00000002834;LASP1;lymph node;83.4
ENSG00000002834;LASP1;monocytes;34.1
ENSG00000002834;LASP1;NK-cells;37.9
ENSG00000002834;LASP1;ovary;58.3
ENSG00000002834;LASP1;pancreas;9.2
ENSG00000002834;LASP1;parathyroid gland;35.0
ENSG00000002834;LASP1;placenta;112.3
ENSG00000002834;LASP1;prostate;42.4
ENSG00000002834;LASP1;rectum;96.0
ENSG00000002834;LASP1;salivary gland;16.1
ENSG00000002834;LASP1;seminal vesicle;45.4
ENSG00000002834;LASP1;skeletal muscle;8.1
ENSG00000002834;LASP1;skin;50.5
ENSG00000002834;LASP1;small intestine;181.0
ENSG00000002834;LASP1;smooth muscle;70.7
ENSG00000002834;LASP1;spleen;98.6
ENSG00000002834;LASP1;stomach;88.2
ENSG00000002834;LASP1;T-cells;32.6
ENSG00000002834;LASP1;testis;35.0
ENSG00000002834;LASP1;thyroid gland;39.3
ENSG00000002834;LASP1;tonsil;68.0
ENSG00000002834;LASP1;urinary bladder;60.5
ENSG00000003147;ICA1;adipose tissue;15.3
ENSG00000003147;ICA1;adrenal gland;12.8
ENSG00000003147;ICA1;appendix;6.1
ENSG00000003147;ICA1;B-cells;0.3
ENSG00000003147;ICA1;bone marrow;14.2
ENSG00000003147;ICA1;breast;26.2
ENSG00000003147;ICA1;cerebral cortex;23.8
ENSG00000003147;ICA1;cervix, uterine;25.0
ENSG00000003147;ICA1;colon;22.1
ENSG00000003147;ICA1;dendritic cells;2.1
ENSG00000003147;ICA1;duodenum;13.1
ENSG00000003147;ICA1;endometrium;10.7
ENSG00000003147;ICA1;epididymis;16.3
ENSG00000003147;ICA1;esophagus;6.9
ENSG00000003147;ICA1;fallopian tube;21.2
ENSG00000003147;ICA1;gallbladder;16.7
ENSG00000003147;ICA1;granulocytes;2.2
ENSG00000003147;ICA1;heart muscle;28.6
ENSG00000003147;ICA1;kidney;13.2
ENSG00000003147;ICA1;liver;3.5
ENSG00000003147;ICA1;lung;16.1
ENSG00000003147;ICA1;lymph node;14.7
ENSG00000003147;ICA1;monocytes;1.8
ENSG00000003147;ICA1;NK-cells;1.2
ENSG00000003147;ICA1;ovary;0.8
ENSG00000003147;ICA1;pancreas;10.4
ENSG00000003147;ICA1;parathyroid gland;33.4
ENSG00000003147;ICA1;placenta;11.2
ENSG00000003147;ICA1;prostate;35.0
ENSG00000003147;ICA1;rectum;25.4
ENSG00000003147;ICA1;salivary gland;15.0
ENSG00000003147;ICA1;seminal vesicle;6.9
ENSG00000003147;ICA1;skeletal muscle;0.6
ENSG00000003147;ICA1;skin;14.1
ENSG00000003147;ICA1;small intestine;19.7
ENSG00000003147;ICA1;smooth muscle;8.1
ENSG00000003147;ICA1;spleen;9.8
ENSG00000003147;ICA1;stomach;28.6
ENSG00000003147;ICA1;T-cells;26.6
ENSG00000003147;ICA1;testis;43.2
ENSG00000003147;ICA1;thyroid gland;22.1
ENSG00000003147;ICA1;tonsil;8.8
ENSG00000003147;ICA1;urinary bladder;15.3
ENSG00000003400;CASP10;adipose tissue;7.5
ENSG00000003400;CASP10;adrenal gland;2.5
ENSG00000003400;CASP10;appendix;12.0
ENSG00000003400;CASP10;B-cells;5.9
ENSG00000003400;CASP10;bone marrow;12.6
ENSG00000003400;CASP10;breast;5.2
ENSG00000003400;CASP10;cerebral cortex;2.4
ENSG00000003400;CASP10;cervix, uterine;4.9
ENSG00000003400;CASP10;colon;13.2
ENSG00000003400;CASP10;dendritic cells;6.3
ENSG00000003400;CASP10;duodenum;21.9
ENSG00000003400;CASP10;endometrium;5.5
ENSG00000003400;CASP10;epididymis;7.3
ENSG00000003400;CASP10;esophagus;7.9
ENSG00000003400;CASP10;fallopian tube;8.8
ENSG00000003400;CASP10;gallbladder;11.8
ENSG00000003400;CASP10;granulocytes;4.9
ENSG00000003400;CASP10;heart muscle;2.3
