Gene;Gene name;Tissue;TPM
ENSG00000002834;LASP1;adipose tissue;68.8
ENSG00000002834;LASP1;adrenal gland;32.6
ENSG00000002834;LASP1;amygdala;25.6
ENSG00000002834;LASP1;basal ganglia;28.5
ENSG00000002834;LASP1;breast;54.7
ENSG00000002834;LASP1;cerebellum;31.6
ENSG00000002834;LASP1;cerebral cortex;40.0
ENSG00000002834;LASP1;cervix, uterine;59.0
ENSG00000002834;LASP1;colon;60.1
ENSG00000002834;LASP1;endometrium;53.6
ENSG00000002834;LASP1;esophagus;36.3
ENSG00000002834;LASP1;fallopian tube;51.6
ENSG00000002834;LASP1;heart muscle;16.0
ENSG00000002834;LASP1;hippocampal formation;21.1
ENSG00000002834;LASP1;hypothalamus;32.8
ENSG00000002834;LASP1;kidney;40.3
ENSG00000002834;LASP1;liver;31.8
ENSG00000002834;LASP1;lung;75.8
ENSG00000002834;LASP1;midbrain;24.0
ENSG00000002834;LASP1;ovary;46.5
ENSG00000002834;LASP1;pancreas;24.4
ENSG00000002834;LASP1;pituitary gland;37.0
ENSG00000002834;LASP1;prostate;31.6
ENSG00000002834;LASP1;salivary gland;39.5
ENSG00000002834;LASP1;skeletal muscle;6.9
ENSG00000002834;LASP1;skin;32.6
ENSG00000002834;LASP1;small intestine;95.4
ENSG00000002834;LASP1;spinal cord;17.8
ENSG00000002834;LASP1;spleen;66.8
ENSG00000002834;LASP1;stomach;45.4
ENSG00000002834;LASP1;testis;32.3
ENSG00000002834;LASP1;thyroid gland;41.6
ENSG00000002834;LASP1;urinary bladder;40.7
ENSG00000002834;LASP1;vagina;39.7
ENSG00000003147;ICA1;adipose tissue;15.3
ENSG00000003147;ICA1;adrenal gland;2.3
ENSG00000003147;ICA1;amygdala;6.9
ENSG00000003147;ICA1;basal ganglia;12.8
ENSG00000003147;ICA1;breast;18.6
ENSG00000003147;ICA1;cerebellum;33.2
ENSG00000003147;ICA1;cerebral cortex;21.0
ENSG00000003147;ICA1;cervix, uterine;9.7
ENSG00000003147;ICA1;colon;10.9
ENSG00000003147;ICA1;endometrium;6.4
ENSG00000003147;ICA1;esophagus;7.7
ENSG00000003147;ICA1;fallopian tube;9.6
ENSG00000003147;ICA1;heart muscle;15.7
ENSG00000003147;ICA1;hippocampal formation;7.1
ENSG00000003147;ICA1;hypothalamus;9.1
ENSG00000003147;ICA1;kidney;10.6
ENSG00000003147;ICA1;liver;3.6
ENSG00000003147;ICA1;lung;12.9
ENSG00000003147;ICA1;midbrain;4.7
ENSG00000003147;ICA1;ovary;1.6
ENSG00000003147;ICA1;pancreas;26.6
ENSG00000003147;ICA1;pituitary gland;21.8
ENSG00000003147;ICA1;prostate;16.1
ENSG00000003147;ICA1;salivary gland;19.0
ENSG00000003147;ICA1;skeletal muscle;1.3
ENSG00000003147;ICA1;skin;9.7
ENSG00000003147;ICA1;small intestine;10.4
ENSG00000003147;ICA1;spinal cord;3.2
ENSG00000003147;ICA1;spleen;11.5
ENSG00000003147;ICA1;stomach;14.4
ENSG00000003147;ICA1;testis;31.8
ENSG00000003147;ICA1;thyroid gland;11.3
ENSG00000003147;ICA1;urinary bladder;18.3
ENSG00000003147;ICA1;vagina;7.1
ENSG00000003400;CASP10;adipose tissue;8.7
ENSG00000003400;CASP10;adrenal gland;2.0
ENSG00000003400;CASP10;amygdala;1.1
ENSG00000003400;CASP10;basal ganglia;1.3
ENSG00000003400;CASP10;breast;6.3
ENSG00000003400;CASP10;cerebellum;1.2
ENSG00000003400;CASP10;cerebral cortex;1.2
ENSG00000003400;CASP10;cervix, uterine;4.1
ENSG00000003400;CASP10;colon;7.6
ENSG00000003400;CASP10;endometrium;3.1
ENSG00000003400;CASP10;esophagus;6.8
ENSG00000003400;CASP10;fallopian tube;4.7
ENSG00000003400;CASP10;heart muscle;2.0
ENSG00000003400;CASP10;hippocampal formation;1.3
ENSG00000003400;CASP10;hypothalamus;1.5
ENSG00000003400;CASP10;kidney;4.5
ENSG00000003400;CASP10;liver;2.5
ENSG00000003400;CASP10;lung;12.5
ENSG00000003400;CASP10;midbrain;1.9
ENSG00000003400;CASP10;ovary;1.5
ENSG00000003400;CASP10;pancreas;2.0
ENSG00000003400;CASP10;pituitary gland;1.5
ENSG00000003400;CASP10;prostate;4.1
ENSG00000003400;CASP10;salivary gland;4.9
ENSG00000003400;CASP10;skeletal muscle;1.0
ENSG00000003400;CASP10;skin;4.1
ENSG00000003400;CASP10;small intestine;10.2
ENSG00000003400;CASP10;spinal cord;2.5
ENSG00000003400;CASP10;spleen;20.7
ENSG00000003400;CASP10;stomach;3.9
ENSG00000003400;CASP10;testis;1.6
ENSG00000003400;CASP10;thyroid gland;6.2
ENSG00000003400;CASP10;urinary bladder;4.0
ENSG00000003400;CASP10;vagina;5.2
ENSG00000003402;CFLAR;adipose tissue;96.7
ENSG00000003402;CFLAR;adrenal gland;39.5
ENSG00000003402;CFLAR;amygdala;10.2
ENSG00000003402;CFLAR;basal ganglia;15.3
ENSG00000003402;CFLAR;breast;79.1
ENSG00000003402;CFLAR;cerebellum;59.4
ENSG00000003402;CFLAR;cerebral cortex;12.8
ENSG00000003402;CFLAR;cervix, uterine;58.0
ENSG00000003402;CFLAR;colon;77.2
ENSG00000003402;CFLAR;endometrium;67.0
ENSG00000003402;CFLAR;esophagus;45.9
ENSG00000003402;CFLAR;fallopian tube;65.5
ENSG00000003402;CFLAR;heart muscle;88.2
ENSG00000003402;CFLAR;hippocampal formation;12.8
ENSG00000003402;CFLAR;hypothalamus;14.3
ENSG00000003402;CFLAR;kidney;40.4
ENSG00000003402;CFLAR;liver;22.1
ENSG00000003402;CFLAR;lung;185.6
ENSG00000003402;CFLAR;midbrain;15.7
ENSG00000003402;CFLAR;ovary;37.3
ENSG00000003402;CFLAR;pancreas;15.7
ENSG00000003402;CFLAR;pituitary gland;31.5
ENSG00000003402;CFLAR;prostate;68.3
ENSG00000003402;CFLAR;salivary gland;53.2
ENSG00000003402;CFLAR;skeletal muscle;103.8
ENSG00000003402;CFLAR;skin;44.7
ENSG00000003402;CFLAR;small intestine;59.2
ENSG00000003402;CFLAR;spinal cord;22.5
ENSG00000003402;CFLAR;spleen;92.2
ENSG00000003402;CFLAR;stomach;37.7
ENSG00000003402;CFLAR;testis;33.9
ENSG00000003402;CFLAR;thyroid gland;92.0
ENSG00000003402;CFLAR;urinary bladder;69.0
ENSG00000003402;CFLAR;vagina;63.9
ENSG00000003989;SLC7A2;adipose tissue;28.0
ENSG00000003989;SLC7A2;adrenal gland;5.2
ENSG00000003989;SLC7A2;amygdala;2.2
ENSG00000003989;SLC7A2;basal ganglia;2.4
ENSG00000003989;SLC7A2;breast;17.1
ENSG00000003989;SLC7A2;cerebellum;1.3
ENSG00000003989;SLC7A2;cerebral cortex;3.8
ENSG00000003989;SLC7A2;cervix, uterine;27.6
ENSG00000003989;SLC7A2;colon;6.2
ENSG00000003989;SLC7A2;endometrium;18.3
ENSG00000003989;SLC7A2;esophagus;5.7
ENSG00000003989;SLC7A2;fallopian tube;29.8
ENSG00000003989;SLC7A2;heart muscle;5.6
ENSG00000003989;SLC7A2;hippocampal formation;1.9
ENSG00000003989;SLC7A2;hypothalamus;1.2
ENSG00000003989;SLC7A2;kidney;6.4
ENSG00000003989;SLC7A2;liver;53.5
ENSG00000003989;SLC7A2;lung;8.4
ENSG00000003989;SLC7A2;midbrain;1.1
ENSG00000003989;SLC7A2;ovary;84.2
ENSG00000003989;SLC7A2;pancreas;21.9
ENSG00000003989;SLC7A2;pituitary gland;7.4
ENSG00000003989;SLC7A2;prostate;12.7
ENSG00000003989;SLC7A2;salivary gland;4.7
ENSG00000003989;SLC7A2;skeletal muscle;52.9
ENSG00000003989;SLC7A2;skin;7.6
ENSG00000003989;SLC7A2;small intestine;4.2
